neighborhood,year,amount_business_1m,all_sb_loans,amount_business_1m_pp,all_sb_loans_pp
Klondike,2012,1357798.229977856,1652364.1167664013,209.08503695378133,254.44473618207596
Klondike,2013,1055682.478748973,1744956.0488778292,174.11883205491884,287.8040654589855
Klondike,2014,860560.4157686613,1565131.1697982342,133.06949370166404,242.018118107041
Klondike,2015,1415017.9949124202,4272306.183157796,218.06410770726154,658.3920763072579
Klondike,2016,1441401.7752962636,2308527.4830573443,221.58367029919503,354.8850857889845
Klondike,2017,1043939.1289650324,2330749.7268388406,160.4825717086906,358.3012646946719
Klondike,2018,1564000,2754000,240.4304381245196,423.36664104534975
Lyndon,2012,1215499.425753679,2892889.6864264486,50.79820401845866,120.89976957649819
Lyndon,2013,1389931.4050666017,2996259.7551275278,58.7659143018181,126.68103141922576
Lyndon,2014,1148432.938161048,3428053.9519786267,48.3571071691881,144.3451914597931
Lyndon,2015,2061003.2366106298,4821058.965714766,87.35285397179918,204.33410891390886
Lyndon,2016,2061695.2393795052,4618565.834089978,86.50953505284933,193.7968208329128
Lyndon,2017,1973475.542405242,5345128.813146353,82.80780221572851,224.28368635223032
Lyndon,2018,1636474.7398455858,3817401.518966096,68.66711731476946,160.1796542030084
Merriwether-Saint Joe-Fairgrounds,2012,5889167.619808943,11517096.150239723,1169.1815802678068,2286.4991364383013
